StampedLockWithRetriesSpaceship 4 r/4 w totalReads Ø 45.22, σ 15.64 totalMoves Ø 21.55, σ 0.73 totalReadAttempts Ø 1.03, σ 0.01 totalMoveAttempts Ø 1, σ 0 totalObservedMoves Ø 0.41, σ 0.02
LockFreeSpaceship 1 r/1 w totalReads Ø 13.64, σ 0.8 totalMoves Ø 24.16, σ 0.37 totalReadAttempts Ø 1, σ 0 totalMoveAttempts Ø 1, σ 0 totalObservedMoves Ø 10.55, σ 0.62
LockFreeSpaceship 1 r/2 w totalReads Ø 12.82, σ 0.65 totalMoves Ø 14.31, σ 0.19 totalReadAttempts Ø 1, σ 0 totalMoveAttempts Ø 1.58, σ 0.01 totalObservedMoves Ø 10.14, σ 0.24
LockFreeSpaceship 1 r/4 w totalReads Ø 9.82, σ 0.33 totalMoves Ø 10.48, σ 0.08 totalReadAttempts Ø 1, σ 0 totalMoveAttempts Ø 2.65, σ 0.02 totalObservedMoves Ø 7.53, σ 0.12
LockFreeSpaceship 2 r/1 w totalReads Ø 31.39, σ 3.53 totalMoves Ø 21.41, σ 1.18 totalReadAttempts Ø 1, σ 0 totalMoveAttempts Ø 1, σ 0 totalObservedMoves Ø 21.92, σ 0.89
LockFreeSpaceship 2 r/2 w totalReads Ø 25.78, σ 0.84 totalMoves Ø 14.31, σ 0.19 totalReadAttempts Ø 1, σ 0 totalMoveAttempts Ø 1.55, σ 0.01 totalObservedMoves Ø 19.84, σ 0.38
LockFreeSpaceship 2 r/4 w totalReads Ø 19.56, σ 0.5 totalMoves Ø 10.44, σ 0.12 totalReadAttempts Ø 1, σ 0 totalMoveAttempts Ø 2.65, σ 0.04 totalObservedMoves Ø 15.05, σ 0.24
LockFreeSpaceship 4 r/1 w totalReads Ø 63.41, σ 3.44 totalMoves Ø 19.14, σ 0.56 totalReadAttempts Ø 1, σ 0 totalMoveAttempts Ø 1, σ 0 totalObservedMoves Ø 46.03, σ 1.03
LockFreeSpaceship 4 r/2 w totalReads Ø 46.36, σ 1.45 totalMoves Ø 13.52, σ 0.19 totalReadAttempts Ø 1, σ 0 totalMoveAttempts Ø 1.56, σ 0.01 totalObservedMoves Ø 36.67, σ 0.63
LockFreeSpaceship 4 r/4 w totalReads Ø 35.63, σ 1.19 totalMoves Ø 9.86, σ 0.21 totalReadAttempts Ø 1, σ 0 totalMoveAttempts Ø 2.68, σ 0.05 totalObservedMoves Ø 28.37, σ 0.71
